path_id,stress_fraction,terminal_payoff,Unhedged short option,Constant-correlation hedge,Regime-switching hedge,Constant-correlation hedge (adjusted to regime premium)
28,0.16666666666666666,0.0,18.720402353570115,-1.1062153860351018,-1.3712110038467709,-1.6127747990605004
29,0.16666666666666666,26.794973618083986,-8.074571264513871,-3.2912200351999132,-4.112064613862671,-3.7977794482253118
30,0.25,0.0,18.720402353570115,5.403269306102157,3.9963504700588857,4.896709893076759
31,0.0,0.0,18.720402353570115,4.301775131556334,3.2398612138314893,3.7952157185309354
32,0.16666666666666666,7.213231060720432,11.507171292849684,-0.102568538064574,-1.5986762932943037,-0.6091279510899725
33,0.08333333333333333,59.397195269637734,-40.67679291606762,-2.0218584072701162,-2.1558477652310017,-2.5284178202955148
34,0.25,9.472439639311915,9.2479627142582,7.219918053365603,5.71119548967858,6.713358640340205
35,0.16666666666666666,0.0,18.720402353570115,5.674083089635289,4.704984426638674,5.167523676609891
36,0.08333333333333333,0.0,18.720402353570115,-7.284037470529938,-6.423359188828783,-7.790596883555336
37,0.3333333333333333,50.48217743747554,-31.761775083905427,-5.129459280698782,-8.321225971082285,-5.63601869372418
38,0.0,0.0,18.720402353570115,-0.5373696123919007,-0.7099855179788239,-1.0439290254172993
39,0.08333333333333333,0.0,18.720402353570115,1.3891917139962882,1.587809444004498,0.8826323009708896
40,0.08333333333333333,43.786726019542044,-25.06632366597193,1.3846815610539664,1.9228747663067338,0.8781221480285679
41,0.16666666666666666,53.622718737312766,-34.90231638374265,2.175705778643291,2.278767906088376,1.6691463656178924
42,0.08333333333333333,0.0,18.720402353570115,-0.344730401121861,0.4067146669585175,-0.8512898141472596
43,0.0,43.60353678201932,-24.883134428449203,0.7296517710303192,-0.5336549140843232,0.22309235800492067
44,0.25,64.59957132556985,-45.87916897199974,0.7789999451112521,0.12099053151456474,0.2724405320858536
45,0.3333333333333333,29.845175381657896,-11.12477302808778,2.917820488171415,3.1190909075116195,2.4112610751460166
46,0.08333333333333333,0.0,18.720402353570115,0.5945054430155151,0.5074473019105858,0.08794602999011658
47,0.08333333333333333,0.0,18.720402353570115,5.602942653445332,4.346063830200293,5.096383240419934
48,0.0,11.614759134822734,7.105643218747382,3.8527304612737368,2.5033880588704704,3.346171048248338
49,0.08333333333333333,0.0,18.720402353570115,4.640762856212202,3.796135344121911,4.134203443186804
50,0.08333333333333333,27.036823763468533,-8.316421409898417,0.36390381088728674,-0.4230269143563845,-0.1426556021381118
51,0.16666666666666666,56.75238888794746,-38.031986534377346,0.08033920238945313,-0.7119247553146693,-0.4262202106359454
52,0.16666666666666666,35.39304859413784,-16.672646240567722,-5.619816038217749,-6.3069401977233355,-6.126375451243147
53,0.08333333333333333,0.0,18.720402353570115,0.16048861349277033,-0.15999971978006577,-0.3460707995326282
54,0.08333333333333333,0.0,18.720402353570115,3.276129404520286,1.775763932441882,2.7695699914948873
55,0.16666666666666666,23.060813399880473,-4.340411046310358,-1.9776504073783912,-3.1852716681410556,-2.4842098204037897
56,0.3333333333333333,0.0,18.720402353570115,0.4302746252489345,0.1491751598319342,-0.07628478777646402
57,0.0,6.019765136509861,12.700637217060255,-4.4429244905315315,-3.652207118706526,-4.94948390355693
58,0.16666666666666666,127.90026415968597,-109.17986180611587,0.011500166104653431,-0.35155208498673574,-0.4950592469207451
59,0.16666666666666666,0.0,18.720402353570115,-0.721435083585035,-1.4122668812076637,-1.2279944966104335
60,0.25,0.0,18.720402353570115,5.006367593367209,4.8337365246568496,4.499808180341811
61,0.08333333333333333,162.95825694507738,-144.23785459150727,-1.4387561445789743,-3.490469923843449,-1.9453155576043728
62,0.08333333333333333,0.0,18.720402353570115,1.4401832804575756,-0.30424492924487095,0.9336238674321771
63,0.0,135.1563484033141,-116.43594604974399,-2.4309191993457944,-2.601189627939675,-2.937478612371193
64,0.08333333333333333,0.0,18.720402353570115,5.075783212120214,4.4875535651328775,4.569223799094816
65,0.16666666666666666,0.0,18.720402353570115,-4.582692338028437,-7.03257746383774,-5.089251751053835
66,0.0,0.0,18.720402353570115,-1.8459697703025668,-2.9864431312090503,-2.3525291833279653
67,0.16666666666666666,0.0,18.720402353570115,-14.069561228971448,-15.109877660701578,-14.576120641996846
68,0.0,1.1326366060928308,17.587765747477285,1.6555822030116225,0.8402661778290614,1.149022789986224
69,0.08333333333333333,0.0,18.720402353570115,-5.364551768690142,-6.161268879933671,-5.871111181715541
70,0.16666666666666666,58.514243030876656,-39.79384067730654,-2.0505319675541074,-0.568946463233658,-2.557091380579506
71,0.0,0.0,18.720402353570115,2.205693302203402,2.1107859413963554,1.6991338891780035
72,0.08333333333333333,23.415845241172377,-4.695442887602262,1.493886455247491,1.1397120219852468,0.9873270422220926
73,0.08333333333333333,0.0,18.720402353570115,-0.07714756291855585,-0.006308770218847459,-0.5837069759439544
74,0.25,35.548159010180655,-16.82775665661054,0.9890402294723941,0.4157546446077447,0.4824808164469956
75,0.16666666666666666,0.0,18.720402353570115,4.653884057050384,4.677904804890815,4.147324644024986
76,0.08333333333333333,36.5115501992573,-17.791147845687185,2.0783384835656165,0.812025895776685,1.571779070540218
77,0.25,0.0,18.720402353570115,0.2530047680446028,1.1188330526018841,-0.2535546449807957
78,0.08333333333333333,27.360081380852122,-8.639679027282007,-0.5074835805886977,-0.5113464804128682,-1.0140429936140962
79,0.16666666666666666,105.37481433245759,-86.65441197888748,-6.231386821468277,-5.96875770271393,-6.737946234493675
80,0.0,0.0,18.720402353570115,0.42325226208157735,0.7802291293732181,-0.08330715094382118
81,0.08333333333333333,0.0,18.720402353570115,2.13159232915217,2.6778969808215685,1.6250329161267714
82,0.16666666666666666,77.54194249863235,-58.82154014506224,-0.4060464923198168,-0.7922243802607483,-0.9126059053452154
83,0.0,45.50986111520942,-26.789458761639303,5.994276512054157,5.4891575714263325,5.4877170990287585
84,0.0,0.0,18.720402353570115,2.08443125074206,1.6060177866700531,1.5778718377166614
85,0.08333333333333333,0.0,18.720402353570115,-8.842357857384995,-8.655994793256605,-9.348917270410393
86,0.0,120.8789948328473,-102.15859247927719,-2.0772207968394554,-1.9223166599966959,-2.583780209864854
87,0.08333333333333333,12.767186595344242,5.953215758225873,7.033344183297899,5.543503418370008,6.526784770272501
88,0.08333333333333333,21.647266596571853,-2.926864243001738,2.832131457201413,1.6103078549959378,2.3255720441760146
89,0.4166666666666667,32.8538611258038,-14.133458772233688,1.4603718070195981,-1.0727848428338689,0.9538123939941996
90,0.25,28.032411423483126,-9.31200906991301,2.822932741224733,2.344973248313707,2.3163733281993344
91,0.3333333333333333,0.0,18.720402353570115,-1.2175944161944279,-1.9238580093633106,-1.7241538292198264
92,0.25,0.0,18.720402353570115,0.2433211832625055,-0.4812741168020409,-0.263238229762893
93,0.16666666666666666,0.0,18.720402353570115,2.150331579350392,0.8005446368582847,1.6437721663249936
94,0.0,31.03336515837455,-12.312962804804435,-1.0996879726258015,-2.500007026478073,-1.6062473856512
95,0.08333333333333333,57.92808152125846,-39.20767916768835,-0.9054381386943646,-0.8157736742446389,-1.4119975517197632
96,0.08333333333333333,0.0,18.720402353570115,2.9522215674233028,2.356436550735622,2.4456621543979042
97,0.08333333333333333,0.0,18.720402353570115,-2.875675890129166,-2.624752247563464,-3.3822353031545647
98,0.08333333333333333,5.828059589354268,12.892342764215847,9.58551921703642,8.849036253574056,9.078959804011022
99,0.08333333333333333,0.0,18.720402353570115,2.616192072500849,2.8263453149333877,2.1096326594754506
100,0.0,0.0,18.720402353570115,1.0841997809679234,-0.18420103398865526,0.5776403679425248
101,0.08333333333333333,11.274977415785031,7.445424937785084,-6.114439456809414,-7.933270213770911,-6.620998869834812
102,0.08333333333333333,42.47896566933849,-23.758563315768377,-5.321223104629681,-6.7848224464180475,-5.827782517655079
103,0.0,0.0,18.720402353570115,7.383281783495672,6.988650578287636,6.876722370470274
104,0.0,0.0,18.720402353570115,-1.412941609645298,-1.5908552608338031,-1.9195010226706966
105,0.08333333333333333,0.0,18.720402353570115,3.511925609452737,2.9986678910828903,3.0053661964273384
